"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Benteke, ChristianBenteke, C.LIV",29,14,1518,2,0,17,7,1,845,327,5,2,0,17,26,29,1,1,9,3,19,61
"Berahino, SaidoBerahino, S.WBA",31,17,1741,0,0,11,19,10,699,316,9,9,0,15,24,17,0,2,4,0,10,34
"Berghuis, StevenBerghuis, S.WAT",9,0,222,2,0,0,20,4,156,69,3,1,0,10,2,7,0,0,0,2,4,8
"Bertrand, RyanBertrand, R.SOU",32,32,2880,6,0,0,105,50,1941,942,40,18,0,64,27,30,1,1,1,3,2,10
"Besic, MuhamedBesic, M.EVE",12,7,557,1,0,0,7,0,459,290,7,8,0,25,2,4,0,0,0,0,2,4
"Blind, DaleyBlind, D.MUN",35,35,3117,2,0,0,48,107,2726,1760,86,32,0,109,15,27,0,0,1,1,2,4
"Boateng, HiramBoateng, H.CRY",1,0,18,0,0,0,0,0,12,3,0,0,0,2,0,2,0,0,0,0,0,1
"Bogdan, AdamBogdan, A.LIV",2,2,180,0,0,0,0,0,61,6,3,0,0,0,0,0,0,0,0,0,0,0
"Bolasie, YannickBolasie, Y.CRY",26,23,2076,2,0,17,127,0,1132,387,5,11,0,43,33,25,0,0,5,3,25,57
"Bony, WilfriedBony, W.MCI",26,13,1223,1,0,7,7,0,667,311,7,1,0,19,20,17,0,1,4,3,17,59
"Borini, FabioBorini, F.SUN",26,22,1899,6,0,2,36,6,1053,388,20,11,0,49,51,31,1,1,5,2,18,48
"Borthwick-Jackson, CameronBorthwick-Jackson, C.MUN",10,6,692,0,0,0,27,0,563,294,3,7,0,22,2,10,0,0,0,1,1,1
"Boruc, ArturBoruc, A.BOU",32,32,2880,2,0,0,0,0,986,187,15,0,0,1,1,1,0,0,0,0,0,0
"Brady, RobbieBrady, R.NOR",36,34,2987,3,0,4,161,88,2244,883,66,22,0,130,18,41,0,0,3,2,19,52
"Brannagan, CameronBrannagan, C.LIV",3,1,112,0,0,0,3,4,145,113,2,2,0,10,0,0,0,0,0,0,1,1
"Britos, Miguel ÁngelBritos, M.WAT",24,24,2076,7,0,0,4,0,1140,524,36,26,0,42,18,19,0,0,0,0,0,6
"Britton, LeonBritton, L.SWA",25,19,1526,4,0,0,6,0,1206,844,25,9,0,66,18,14,0,0,0,0,0,5
"Brown, WesBrown, W.SUN",6,6,540,1,0,0,2,0,262,146,0,2,0,5,7,5,0,0,0,0,0,0
