"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Aarons, RolandoAarons, R.NCU",4,0,128,1,0,0,3,0,84,34,7,0,0,1,3,1,0,0,1,0,1,7
"Abeid, MehdiAbeid, M.NCU",13,7,662,0,0,0,4,5,468,244,84,8,0,7,5,12,0,0,0,0,2,12
"Adam, CharlieAdam, C.STO",29,15,1508,5,0,0,89,74,1321,605,113,13,0,40,29,37,1,1,7,1,17,62
"Adebayor, EmmanuelAdebayor, E.TOT",13,9,814,1,0,11,7,0,399,206,23,1,0,6,6,13,0,0,2,1,10,19
"AdriánAdriánWHU",38,38,3391,3,1,0,0,0,1619,222,174,0,0,1,7,2,0,0,0,0,0,0
"Agbonlahor, GabrielAgbonlahor, G.AST",34,30,2693,7,1,13,33,0,996,429,60,7,0,21,58,42,0,0,6,1,18,54
"Agüero, SergioAgüero, S.MCY",33,30,2538,4,0,34,20,0,1345,693,94,2,0,8,25,17,5,6,26,8,63,147
"Ake, NathanAke, N.CHE",1,0,17,0,0,0,0,0,22,17,2,0,0,0,1,1,0,0,0,0,0,0
"Akpom, ChubaAkpom, C.ARS",3,0,27,0,0,0,1,0,11,3,0,0,0,1,1,1,0,0,0,0,2,2
"Albrighton, MarcAlbrighton, M.LEI",18,10,1027,3,0,3,81,40,738,241,70,8,0,20,15,15,0,0,2,3,4,13
"Alcaraz, AntolínAlcaraz, A.EVE",8,6,527,1,1,0,0,0,473,290,56,6,0,2,6,5,0,0,0,0,0,2
"Alderweireld, TobyAlderweireld, T.SHN",26,26,2263,3,0,0,11,0,1624,897,207,33,0,14,6,12,0,0,1,0,7,18
"Allen, JoeAllen, J.LIV",21,16,1471,3,0,0,8,5,1182,744,153,4,0,25,24,20,0,0,1,0,2,12
"Alnwick, JakAlnwick, J.NCU",6,5,495,0,0,0,0,0,273,42,32,0,0,0,1,0,0,0,0,0,0,0
"Altidore, JozyAltidore, J.SUN",11,2,304,0,0,1,3,0,154,61,9,0,0,2,1,7,0,0,0,0,2,7
