"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Aluko, SoneAluko, S.HUL",25,13,1242,2,0,5,16,4,706,338,50,4,0,12,29,15,0,0,1,0,12,32
"Álvarez, RicardoÁlvarez, R.SUN",13,5,494,3,0,3,14,4,357,181,24,0,0,6,5,5,0,0,0,0,2,10
"Amalfitano, MorganAmalfitano, M.WHU",24,14,1180,3,0,2,35,22,582,274,49,6,0,14,18,9,0,0,3,1,5,18
"Amat, JordiAmat, J.SWA",10,7,588,3,0,0,2,0,454,289,49,12,0,12,2,8,0,0,0,0,0,0
"Ameobi, SammyAmeobi, S.NCU",25,15,1422,2,0,1,53,16,1060,368,114,20,0,20,21,34,0,0,2,2,4,26
"Ameobi, SholaAmeobi, S.CP",4,0,38,0,0,0,0,0,32,10,0,1,0,0,0,1,0,0,0,0,0,1
"AndersonAndersonMAN",1,0,20,0,0,0,0,4,21,17,0,0,0,0,0,1,0,0,0,0,0,0
"Anichebe, VictorAnichebe, V.WBA",21,11,1034,0,0,6,7,0,537,200,17,3,0,5,28,17,0,0,3,0,8,26
"Anita, VurnonAnita, V.NCU",19,17,1272,3,0,0,20,0,860,477,126,8,0,15,12,17,0,0,0,0,1,8
"Arfield, ScottArfield, S.BUR",37,36,3204,6,0,3,14,0,2024,985,293,27,0,47,21,55,0,1,2,2,10,44
"Armstrong, AdamArmstrong, A.NCU",11,1,202,1,0,0,2,1,100,36,10,0,0,6,2,7,0,0,0,1,2,7
"Arnautovic, MarkoArnautovic, M.STO",29,20,1917,2,0,11,92,22,1176,555,99,17,0,29,27,32,0,0,1,5,8,44
"Arteta, MikelArteta, M.ARS",7,6,450,1,0,0,0,0,486,348,55,4,0,12,10,10,0,0,0,1,0,2
"Assaidi, OussamaAssaidi, O.STO",9,1,224,1,0,0,7,3,163,74,18,1,0,7,4,7,0,0,0,1,3,5
"Atsu, ChristianAtsu, C.EVE",5,1,110,0,0,0,2,0,88,46,11,0,0,0,0,0,0,0,0,1,1,4
"Austin, CharlieAustin, C.QPR",35,35,3069,4,1,35,35,0,1300,473,91,9,0,15,44,35,3,5,18,6,52,130
"Azpilicueta, CésarAzpilicueta, C.CHE",29,29,2484,1,1,0,42,0,2061,1084,239,41,0,19,15,19,0,0,0,3,3,7
"Bacuna, LeandroBacuna, L.AST",19,10,981,1,0,1,68,7,943,477,88,11,0,12,6,15,0,0,0,5,3,17
"Baines, LeightonBaines, L.EVE",31,31,2774,4,0,6,101,109,2572,1379,203,35,0,31,50,23,2,3,2,9,9,22
"Baird, ChrisBaird, C.WBA",19,9,801,2,0,0,9,0,535,241,54,15,0,9,4,8,0,0,0,0,2,4
"Baker, NathanBaker, N.AST",11,8,763,0,0,0,0,0,454,182,97,15,0,4,1,8,0,0,0,0,0,5
"Balotelli, MarioBalotelli, M.LIV",16,10,940,5,0,12,8,0,422,161,26,2,0,8,26,29,0,0,1,0,19,56
"Bannan, BarryBannan, B.CP",7,2,136,1,0,0,10,4,107,54,14,1,0,0,0,2,0,0,0,0,1,2
"Bardsley, PhilBardsley, P.STO",25,24,2082,6,0,0,46,1,1466,543,133,35,0,50,33,26,0,0,0,1,3,21
"Barkley, RossBarkley, R.EVE",29,22,1964,1,0,1,23,12,1621,1010,123,13,0,14,35,19,0,1,2,2,14,50
"Barnes, AshleyBarnes, A.BUR",35,28,2423,4,1,10,21,0,1101,349,69,17,0,31,58,71,0,0,5,2,21,64
"Barrow, ModouBarrow, M.SWA",11,1,277,1,0,1,10,0,192,71,14,1,0,11,13,8,0,0,0,1,0,2
"Barry, GarethBarry, G.EVE",33,33,2827,10,1,3,19,0,2451,1578,298,18,0,50,32,60,0,0,0,2,7,16
"Bartley, KyleBartley, K.SWA",7,7,630,2,0,2,0,0,436,294,46,6,0,5,9,7,0,0,0,0,1,3
"Barton, JoeyBarton, J.QPR",28,27,2351,11,1,0,79,63,2109,1018,274,33,0,43,37,49,0,0,1,3,8,36
"Begovic, AsmirBegovic, A.STO",35,35,3150,3,0,0,0,0,1541,360,156,0,0,0,4,1,0,0,0,0,0,1
"Bellerín, HéctorBellerín, H.ARS",20,17,1561,5,0,1,68,0,1312,640,159,32,0,28,4,17,0,0,2,1,4,5
"Ben Arfa, HatemBen Arfa, H.HUL",8,5,384,1,0,0,5,6,180,110,6,2,0,4,2,8,0,0,0,0,1,2
"Bent, DarrenBent, D.AST",7,0,78,0,0,2,0,0,18,9,0,0,0,0,1,0,0,0,0,0,0,1
"Bentaleb, NabilBentaleb, N.TOT",26,25,2195,8,0,0,19,0,1972,1287,228,15,0,34,17,27,0,0,0,2,5,25
"Benteke, ChristianBenteke, C.AST",29,26,2380,1,1,36,10,0,1476,608,67,2,0,23,24,41,1,1,13,2,30,79
"Berahino, SaidoBerahino, S.WBA",38,32,2929,2,0,19,28,1,1226,582,65,12,0,21,38,32,4,4,14,1,37,86
"Bertrand, RyanBertrand, R.SHN",34,34,3055,3,1,2,115,0,2393,1138,244,36,0,31,40,30,0,0,2,2,3,13
"Besic, MuhamedBesic, M.EVE",23,15,1284,8,0,0,17,3,1165,742,130,10,0,20,13,30,0,0,0,0,3,17
"Blackett, TylerBlackett, T.MAN",11,6,650,3,1,0,4,0,616,388,77,10,0,8,3,10,0,0,0,0,0,0
"Blanco, SebastianBlanco, S.WBA",3,0,36,1,0,0,3,1,26,15,1,0,0,0,0,1,0,0,0,0,0,2
"Blind, DaleyBlind, D.MAN",25,25,2171,4,0,1,26,0,2228,1419,285,11,0,33,11,25,0,0,2,2,9,28
"Bolasie, YannickBolasie, Y.CP",34,31,2776,3,0,14,138,40,1566,503,122,17,0,45,49,47,0,0,4,6,19,68
"Bony, WilfriedBony, W.",30,18,1598,3,1,11,7,0,960,473,44,2,0,19,37,37,1,1,11,3,34,88
"Borini, FabioBorini, F.LIV",12,3,392,1,1,3,3,3,184,78,11,3,0,9,8,9,0,0,1,1,5,14
"Boyata, DedryckBoyata, D.MCY",2,1,91,1,0,0,0,0,85,46,18,1,0,3,2,3,0,0,0,0,0,0
"Boyd, GeorgeBoyd, G.",36,35,3020,7,0,13,42,27,1427,517,194,42,0,66,34,40,0,0,5,2,13,50
"Brady, RobbieBrady, R.HUL",27,17,1755,2,0,4,108,63,1340,536,118,21,0,29,27,16,0,0,0,2,6,22
"Bridcutt, LiamBridcutt, L.SUN",18,10,907,6,1,0,11,0,688,369,112,7,0,32,16,21,0,0,0,2,0,4
"Britton, LeonBritton, L.SWA",9,7,537,1,0,0,0,0,398,279,31,3,0,9,5,5,0,0,0,0,0,0
"Brown, IsaiahBrown, I.CHE",1,0,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"Brown, WesBrown, W.SUN",25,23,1993,5,1,1,3,0,1193,655,137,35,0,22,9,16,0,0,0,0,1,3
"Browning, TyiasBrowning, T.EVE",2,0,29,0,0,0,4,0,32,21,1,0,0,0,0,1,0,0,0,0,0,0
"Bruce, AlexBruce, A.HUL",22,17,1448,3,0,0,0,0,805,346,138,31,0,25,4,13,0,0,0,1,0,1
"Brunt, ChrisBrunt, C.WBA",34,33,2895,5,0,3,100,80,1849,813,174,34,0,36,13,31,0,0,2,9,5,33
"Buckley, WillBuckley, W.SUN",22,9,868,2,0,9,23,2,365,146,30,2,0,3,27,10,0,0,0,2,0,3
"Burke, ReeceBurke, R.WHU",5,4,415,0,0,0,0,0,263,118,25,8,0,3,1,3,0,0,0,0,0,5
"Butland, JackButland, J.STO",3,3,270,0,0,0,0,0,134,18,13,0,0,0,0,0,0,0,0,0,0,0
"Caballero, WillyCaballero, W.MCY",2,2,180,0,0,0,0,0,83,21,13,0,0,0,0,0,0,0,0,0,0,0
"Cabella, RemyCabella, R.NCU",31,21,1947,2,0,1,76,45,1443,701,146,12,0,26,59,30,0,0,1,2,12,44
"Cahill, GaryCahill, G.CHE",36,33,2984,5,0,0,3,0,1921,1170,253,29,0,22,16,23,0,0,1,1,8,21
"Cambiasso, EstebanCambiasso, E.LEI",31,27,2423,1,0,0,32,33,1529,759,225,25,0,25,15,18,0,0,5,1,7,30
"Cameron, GeoffCameron, G.STO",27,21,2135,4,0,1,65,0,1566,652,197,25,0,32,18,13,0,0,0,1,0,9
"Campbell, FraizerCampbell, F.CP",20,13,1175,5,0,10,6,1,383,147,19,0,0,7,23,18,0,0,4,0,9,26
"Campbell, JoelCampbell, J.ARS",4,0,39,0,0,0,4,0,39,26,1,0,0,1,2,0,0,0,0,0,0,0
"Can, EmreCan, E.LIV",27,23,2065,2,1,0,22,1,1822,1045,232,21,0,39,19,29,0,0,1,0,4,15
"Capoue, EtienneCapoue, E.TOT",12,11,901,2,0,0,11,0,805,553,92,5,0,20,10,22,0,0,0,0,1,7
"Carrick, MichaelCarrick, M.MAN",18,16,1457,1,0,0,9,0,1275,927,162,11,0,6,10,8,0,0,1,2,4,8
"Carroll, AndyCarroll, A.WHU",14,12,1027,2,0,1,13,0,555,214,34,3,0,11,19,27,0,0,5,1,12,37
"Carroll, ThomasCarroll, T.SWA",13,8,692,1,0,0,4,1,553,393,46,7,0,4,0,5,0,0,0,0,0,4
"Cattermole, LeeCattermole, L.SUN",28,26,2358,14,0,0,14,0,1560,837,257,23,0,54,21,55,0,0,1,0,1,11
"Caulker, StevenCaulker, S.QPR",35,34,3015,1,0,0,4,0,1761,682,313,53,0,21,10,15,0,0,1,0,6,27
"Cazorla, SantiCazorla, S.ARS",37,33,2992,5,0,2,97,105,3068,2044,248,19,0,18,62,20,6,6,7,11,33,92
"Cech, PetrCech, P.CHE",7,6,606,0,0,0,0,0,212,51,20,0,0,0,0,0,0,0,0,0,0,0
"Chadli, NacerChadli, N.TOT",35,28,2415,3,0,10,54,0,1517,862,116,7,0,19,26,26,0,0,11,5,22,54
"Chalobah, NathanielChalobah, N.BUR",4,0,66,1,0,0,0,0,76,46,10,0,0,3,1,4,0,0,0,0,0,1
"Chamakh, MarouaneChamakh, M.CP",18,15,1156,4,0,6,1,0,756,300,72,1,0,31,29,41,0,0,2,0,5,11
"Chambers, CalumChambers, C.ARS",23,17,1570,7,1,1,42,0,1508,780,183,14,0,20,17,25,0,0,1,1,2,7
"Chester, JamesChester, J.HUL",23,23,1872,5,1,0,4,0,1197,643,176,23,0,28,14,27,0,0,2,0,4,9
"Chiriches, VladChiriches, V.TOT",10,8,709,2,1,1,15,0,601,320,72,15,0,9,7,11,0,0,0,0,0,1
"Christensen, AndreasChristensen, A.CHE",1,0,12,0,0,0,0,0,19,17,1,0,0,0,0,1,0,0,0,0,0,0
"Cissé, PapissCissé, P.NCU",22,11,1152,1,0,9,6,0,536,242,26,5,0,14,13,18,1,1,11,1,19,43
"Cissokho, AlyCissokho, A.AST",25,24,2131,1,0,0,85,0,1519,615,146,37,0,24,14,20,0,0,0,0,0,8
"Clark, CiaranClark, C.AST",25,22,1991,8,1,1,4,1,1451,744,216,29,0,17,18,21,0,0,1,2,5,15
"Cleverley, TomCleverley, T.",32,32,2610,7,0,0,66,8,1971,1260,202,15,0,33,32,30,0,0,3,0,9,24
"Clichy, GaelClichy, G.MCY",23,23,2058,1,0,2,58,2,2065,1137,238,22,0,10,9,11,0,0,1,3,2,8
"Clyne, NathanielClyne, N.SHN",35,35,3147,4,0,0,118,0,2535,1187,258,35,0,32,25,21,0,0,2,0,5,19
"Coates, SebastiánCoates, S.SUN",10,9,822,1,0,0,1,0,455,185,75,16,0,18,7,9,0,0,0,0,0,7
"Colback, JackColback, J.NCU",35,35,3129,12,0,1,65,48,2200,1261,315,26,0,42,56,57,0,0,4,6,10,27
"Cole, CarltonCole, C.WHU",23,8,907,2,0,7,4,0,365,122,20,1,0,11,7,26,0,0,2,0,6,16
"Cole, JoeCole, J.AST",12,3,279,0,0,2,12,9,242,132,16,0,0,6,6,4,0,0,1,1,1,4
"Coleman, SeamusColeman, S.EVE",35,34,3065,5,0,4,100,0,2302,1121,220,31,0,20,30,21,0,0,3,2,9,19
"Collins, JamesCollins, J.WHU",27,21,1879,5,1,0,3,0,1165,416,142,36,0,41,8,18,0,0,0,0,3,9
"Coloccini, FabricioColoccini, F.NCU",32,32,2837,3,1,0,6,0,1632,922,261,41,0,28,8,15,0,0,1,0,2,9
"Comley, BrandonComley, B.QPR",1,0,10,0,0,0,0,0,24,10,2,1,0,1,0,0,0,0,0,0,0,1
"Coquelin, FrancisCoquelin, F.ARS",22,19,1663,5,0,1,8,0,1523,884,250,6,0,41,17,30,0,0,0,0,0,5
"Cork, JackCork, J.",27,20,1801,1,0,0,9,0,1530,919,204,20,0,24,40,22,0,0,3,0,5,7
"Costa, DiegoCosta, D.CHE",26,24,2082,8,0,25,25,0,1080,527,39,1,0,15,25,33,1,1,20,3,38,79
"Courtois, ThibautCourtois, T.CHE",32,32,2814,1,0,0,1,0,1224,191,163,0,0,0,8,0,0,0,0,0,0,0
"Coutinho, PhilippeCoutinho, P.LIV",35,32,2799,3,0,7,51,63,2175,1206,149,13,0,19,49,26,0,0,5,5,33,102
"Cresswell, AaronCresswell, A.WHU",38,38,3420,5,0,7,118,6,2413,970,219,60,0,20,32,17,0,0,2,4,9,20
"Crouch, PeterCrouch, P.STO",33,17,1676,4,0,12,7,2,928,368,54,4,0,13,16,29,0,0,8,2,17,58
"Cuadrado, JuanCuadrado, J.CHE",12,4,311,2,0,0,11,6,282,165,19,2,0,5,10,5,0,0,0,0,3,7
"Dann, ScottDann, S.CP",34,34,2922,6,0,1,7,0,1464,578,231,44,0,26,9,28,0,0,2,3,4,20
"Davidson, JasonDavidson, J.WBA",2,1,102,0,0,0,3,0,61,31,3,1,0,4,2,1,0,0,0,0,0,0
"Davies, BenDavies, B.TOT",14,9,891,3,0,0,25,0,757,366,80,7,0,10,11,7,0,0,0,1,0,1
"Davies, CurtisDavies, C.HUL",21,21,1814,2,0,0,2,0,1041,509,169,31,0,16,9,14,0,0,0,0,1,12
"Davis, KelvinDavis, K.SHN",7,6,616,0,0,0,0,0,235,27,33,0,0,0,0,0,0,0,0,0,0,0
"Davis, StevenDavis, S.SHN",35,32,2648,3,0,2,57,44,2063,1290,210,13,0,20,15,17,0,0,0,2,5,29
"Dawson, CraigDawson, C.WBA",29,29,2591,6,0,1,23,0,1776,791,229,55,0,37,25,24,0,0,2,0,4,16
"Dawson, MichaelDawson, M.HUL",28,28,2434,7,0,1,4,0,1533,719,227,34,0,30,10,22,0,0,1,0,3,15
"De Gea, DavidDe Gea, D.MAN",37,37,3314,0,0,0,0,0,1484,500,176,1,0,0,0,0,0,0,0,0,0,0
"De Jong, SiemDe Jong, S.NCU",4,1,147,0,0,0,0,0,59,21,3,1,0,3,0,1,0,0,1,0,2,5
"De Laet, RitchieDe Laet, R.LEI",26,20,1883,3,0,0,32,0,1275,409,129,25,0,34,18,23,0,0,0,1,0,4
"Debuchy, MathieuDebuchy, M.ARS",10,10,808,2,0,4,20,0,671,303,71,10,0,11,10,15,0,0,1,0,4,8
"Defoe, JermainDefoe, J.SUN",17,17,1457,1,0,15,7,0,466,204,39,10,0,7,20,8,0,0,4,0,15,34
"Delaney, DamienDelaney, D.CP",29,28,2434,6,1,1,5,0,1284,509,193,27,0,24,11,14,0,0,0,0,3,12
"Delph, FabianDelph, F.AST",28,27,2434,1,1,1,79,17,2184,1393,210,24,0,25,46,15,0,0,0,3,11,42
"Dembele, MoussaDembele, M.TOT",26,10,1138,1,0,0,5,1,1062,717,101,3,0,25,19,37,0,0,1,1,2,10
"Demel, GuyDemel, G.WHU",6,3,258,0,0,0,14,0,205,86,16,3,0,2,1,4,0,0,0,0,0,0
"Demichelis, MartínDemichelis, M.MCY",31,28,2559,6,0,0,1,0,2020,1230,301,18,0,47,9,33,0,0,1,0,1,7
"Di María, ÁngelDi María, Á.MAN",27,20,1642,1,0,5,144,65,1321,658,82,4,0,2,21,5,0,0,3,10,19,62
"Diame, MohamedDiame, M.",15,10,934,2,0,0,6,0,534,270,50,8,0,24,14,21,0,0,4,0,4,17
"Dier, EricDier, E.TOT",28,25,2290,4,0,1,38,0,1858,939,180,40,0,34,12,21,0,0,2,2,2,12
"Diouf, MameDiouf, M.STO",34,28,2437,7,0,18,22,0,863,308,71,14,0,40,38,61,0,0,11,3,22,56
"Distin, SylvainDistin, S.EVE",13,12,1080,0,0,3,1,0,935,604,84,18,0,7,7,3,0,0,0,0,1,1
"Djuricic, FilipDjuricic, F.SHN",9,3,327,1,0,2,10,4,245,118,34,2,0,2,7,4,0,0,0,0,1,7
"Dorrans, GrahamDorrans, G.WBA",21,19,1593,5,0,1,44,24,984,589,80,14,0,23,15,22,0,1,1,3,6,20
"Doughty, MichaelDoughty, M.QPR",3,0,51,0,0,0,0,0,53,19,10,1,0,3,3,1,0,0,0,0,0,0
"Downing, StewartDowning, S.WHU",37,37,3313,3,0,4,164,111,1963,1143,120,25,0,10,27,11,0,0,6,8,19,70
"Doyle, KevinDoyle, K.CP",3,0,34,0,0,0,1,0,15,5,1,1,0,1,1,2,0,0,0,0,0,0
"Drinkwater, DanielDrinkwater, D.LEI",23,16,1488,1,0,0,20,2,1115,616,149,17,0,24,11,31,0,0,0,0,3,16
"Drogba, DidierDrogba, D.CHE",28,8,856,5,0,12,14,0,560,199,32,2,0,7,16,13,0,0,4,1,9,30
"Duff, MichaelDuff, M.BUR",21,21,1809,4,1,0,2,0,1117,468,189,28,0,20,15,19,0,0,0,0,1,2
"Dummett, PaulDummett, P.NCU",25,24,2109,4,0,1,21,2,1343,585,137,22,0,14,17,13,0,0,0,0,3,18
"Dunne, RichardDunne, R.QPR",23,22,1872,7,0,0,3,0,1074,379,179,45,0,26,8,25,0,0,0,0,4,8
"Dyer, NathanDyer, N.SWA",32,23,1868,2,0,6,53,0,1151,601,94,10,0,24,37,21,0,0,3,3,9,17
"Dzeko, EdinDzeko, E.MCY",22,11,933,1,0,6,10,0,571,277,37,2,0,5,9,13,0,0,4,2,13,44
"Elia, EljeroElia, E.SHN",16,9,787,2,0,1,31,8,505,228,54,1,0,8,15,17,0,0,2,0,6,15
"Elliot, RobElliot, R.NCU",3,3,225,0,0,0,0,0,135,26,21,0,0,0,1,0,0,0,0,0,0,0
"Elmohamady, AhmedElmohamady, A.HUL",38,38,3419,4,0,2,201,1,2755,1169,243,16,0,35,48,38,0,0,2,5,4,16
"Emnes, MarvinEmnes, M.SWA",17,3,502,1,0,2,10,2,282,113,17,2,0,10,14,11,0,0,0,0,4,13
"Enrique, JoséEnrique, J.LIV",4,2,203,0,0,0,4,0,183,70,24,3,0,1,2,3,0,0,0,0,0,1
"Eriksen, ChristianEriksen, C.TOT",38,37,3139,4,0,0,136,111,2708,1565,229,20,0,11,22,16,0,0,10,2,26,95
"Eto'o, SamuelEto'o, S.EVE",14,8,782,1,0,2,6,3,490,298,26,2,0,5,8,6,0,0,3,1,10,28
"Evans, JonnyEvans, J.MAN",14,12,1091,1,0,0,7,0,1082,719,121,6,0,12,10,7,0,0,0,0,0,1
"Fabianski, LukaszFabianski, L.SWA",37,37,3308,0,1,0,0,0,1785,388,210,0,0,0,13,1,0,0,0,0,0,0
"Fàbregas, CescFàbregas, C.CHE",34,33,2886,11,1,1,115,145,3222,2167,275,9,0,34,36,30,0,0,3,18,17,43
"Falcao, RadamelFalcao, R.MAN",26,14,1286,2,0,14,10,0,632,339,35,4,0,11,25,21,0,0,4,4,16,37
"Faurlín, AlejandroFaurlín, A.QPR",2,1,91,0,0,0,4,1,65,35,8,0,0,5,3,1,0,0,0,0,1,3
"Fazio, FedericoFazio, F.TOT",20,20,1777,2,1,0,2,0,1344,729,180,31,0,15,7,15,0,0,0,0,3,11
"Fellaini, MarouaneFellaini, M.MAN",27,19,1830,5,1,13,17,0,1606,927,148,14,0,38,30,61,0,0,6,0,16,35
"Fer, LeroyFer, L.QPR",29,27,2365,4,0,2,18,4,1431,718,143,10,0,36,51,32,0,0,6,2,14,54
"Ferdinand, RioFerdinand, R.QPR",11,11,990,2,0,0,1,0,631,316,127,19,0,2,4,2,0,0,0,0,0,0
"Fernández, FedeFernández, F.SWA",28,27,2475,0,0,1,5,0,1955,1165,243,26,0,26,22,19,0,0,0,0,4,13
"FernandinhoFernandinhoMCY",33,25,2273,7,0,0,16,0,2246,1476,293,10,0,51,23,61,0,0,3,3,8,23
"FernandoFernandoMCY",25,22,1880,6,0,0,4,0,1516,1046,192,11,0,29,10,31,0,0,2,2,2,10
"Figueroa, MaynorFigueroa, M.HUL",3,2,213,0,0,0,3,0,155,64,7,3,0,5,1,2,0,0,0,0,0,2
"Filipe LuisFilipe LuisCHE",15,9,939,1,0,0,29,2,907,504,82,8,0,14,10,18,0,0,0,0,2,5
"Flamini, MathieuFlamini, M.ARS",23,15,1455,3,0,2,4,0,1098,727,131,10,0,31,10,21,0,0,1,1,1,7
"Fletcher, DarrenFletcher, D.",26,19,1714,3,0,0,22,0,1141,683,133,11,0,19,14,14,0,0,1,0,2,10
"Fletcher, StevenFletcher, S.SUN",30,20,1783,4,0,8,23,0,831,359,40,5,0,13,32,22,0,0,5,2,15,37
"Fonte, JoséFonte, J.SHN",37,37,3330,5,0,0,13,0,2789,1668,414,26,0,41,16,30,0,0,0,1,5,22
"Forster, FraserForster, F.SHN",30,30,2624,1,0,0,0,0,1082,288,114,0,0,0,2,0,0,0,0,0,0,0
"Foster, BenFoster, B.WBA",28,28,2486,2,0,0,0,0,1280,235,146,0,0,0,2,1,0,0,0,0,0,0
"Fryers, ZekiFryers, Z.CP",1,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fulton, JayFulton, J.SWA",2,1,114,0,0,0,0,0,83,43,14,0,0,1,0,1,0,0,0,0,0,0
"Furlong, DarnellFurlong, D.QPR",3,3,225,1,0,0,4,0,158,53,24,1,0,2,4,4,0,0,0,0,1,1
"GabrielGabrielARS",6,4,349,0,0,0,0,0,236,118,38,5,0,5,2,3,0,0,0,1,0,2
"Galloway, BrendonGalloway, B.EVE",2,2,174,1,0,0,2,0,127,40,14,6,0,4,2,2,0,0,0,0,0,0
"Gamboa, CristianGamboa, C.WBA",10,1,236,1,0,0,8,0,244,125,30,2,0,3,4,1,0,0,0,1,0,1
"Gape, DominicGape, D.SHN",1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Garbutt, LukeGarbutt, L.EVE",4,3,286,1,0,0,20,16,258,111,23,6,0,1,0,1,0,0,0,0,1,1
"Gardner, CraigGardner, C.WBA",35,30,2684,10,0,5,41,14,1647,796,188,33,0,51,38,58,0,0,3,4,18,57
"Gardos, FlorinGardos, F.SHN",11,5,574,1,0,0,0,0,399,239,68,5,0,10,1,7,0,0,0,0,0,0
"Gayle, DwightGayle, D.CP",25,11,1090,1,0,6,32,7,502,200,45,5,0,8,24,18,1,1,5,1,10,29
"Gazzaniga, PauloGazzaniga, P.SHN",2,2,180,0,0,0,0,0,66,6,8,0,0,0,1,0,0,0,0,0,0,0
"Gerrard, StevenGerrard, S.LIV",29,25,2236,7,1,1,85,57,2014,1270,200,14,0,23,23,11,4,5,9,1,21,54
"Giaccherini, EmanueleGiaccherini, E.SUN",8,2,304,2,0,0,3,0,233,133,22,2,0,1,8,4,0,0,0,0,4,8
"Gibbs, KieranGibbs, K.ARS",22,18,1657,3,0,1,60,0,1486,754,174,14,0,25,7,17,0,0,0,3,2,12
"Gibson, DarronGibson, D.EVE",9,3,411,0,0,0,6,1,441,283,50,6,0,3,4,4,0,0,0,0,2,10
"Gil, CarlesGil, C.AST",5,4,359,1,0,0,20,19,311,190,27,1,0,1,7,3,0,0,0,1,0,3
"Giroud, OlivierGiroud, O.ARS",27,21,1867,5,1,13,12,0,1124,510,70,8,0,18,30,38,0,0,14,3,29,70
"Given, ShayGiven, S.AST",3,3,270,1,0,0,0,0,114,13,22,0,0,0,2,0,0,0,0,0,0,0
"Gómez, JordiGómez, J.SUN",29,22,1941,7,0,2,39,23,1432,764,163,23,0,28,50,34,3,3,4,2,10,31
"Gomis, BafetimbiGomis, B.SWA",31,18,1640,0,0,22,2,0,792,346,29,4,0,10,37,24,0,0,7,0,25,69
"Gorre, KenjiGorre, K.SWA",1,0,6,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0
"Gouffran, YoanGouffran, Y.NCU",31,24,1969,3,0,4,22,13,1147,589,123,15,0,19,17,21,0,0,2,1,12,25
"Graham, DannyGraham, D.SUN",14,7,626,0,0,3,7,0,254,95,15,2,0,4,13,3,0,0,1,0,4,10
"Grealish, JackGrealish, J.AST",17,7,815,0,0,2,16,31,543,324,39,4,0,4,38,6,0,0,0,1,5,13
"Green, RobertGreen, R.QPR",36,36,3184,1,0,0,0,0,1532,211,161,0,0,0,7,0,0,0,0,0,0,0
"Grego-Cox, ReeceGrego-Cox, R.QPR",4,1,142,0,0,1,4,0,69,17,4,0,0,3,1,1,0,0,0,0,0,1
"Grimes, MattGrimes, M.SWA",3,0,42,0,0,0,1,0,41,25,1,0,0,1,0,1,0,0,0,0,0,0
"Guedioura, AdleneGuedioura, A.CP",7,0,122,1,0,0,2,2,103,45,6,1,0,1,5,6,0,0,0,0,1,5
"Gutiérrez, JonásGutiérrez, J.NCU",10,6,634,4,0,0,15,1,487,190,74,8,0,12,18,9,0,0,1,1,3,10
"Guzan, BradGuzan, B.AST",34,34,3060,2,0,0,0,0,1577,328,220,0,0,0,7,1,0,0,0,0,0,0
"Haidara, MassadioHaidara, M.NCU",15,12,1099,0,0,1,40,1,896,367,100,11,0,12,23,12,0,0,0,1,1,7
